TimeStamp,3month_Tbill,5year_Tnote,10year_Tbond,EuropeETF_VGK,EuropeETF_BBEU,EuropeETF_EZU,3monthGovernmentBond_Mexican,3monthGovernmentBond_Brazil,DJCI_Gas,DJCI_Gold,DJCI_Oil,LowCarbonStock_TESLA,LowCarbonStock_NVIDIA,LowCarbonStock_HOMEDEPOT,conversion_rate,China_growthGDP
2022/1/5 20:00,0.07%,1.24%,1.48%,66.35,58.1,47.86,5.85%,9.68%,205.22,617.65,599.16,938.53,290.75,390.47,6.3594,2.33%
2022/1/5 19:35,0.07%,1.17%,1.43%,65.51,57.91,47.14,5.82%,9.62%,204.35,619.68,578.01,899.94,277.19,389.4,6.3515,2.32%
2022/1/5 19:10,0.05%,1.18%,1.41%,66.12,57.89,47.13,5.82%,9.62%,197.88,623.24,595.79,932.57,278.01,387.98,6.3574,2.33%
2022/1/5 19:00,0.05%,1.19%,1.44%,67.1,58.73,47.84,5.65%,9.62%,202.01,620.93,607.83,926.92,283.87,399.53,6.3337,2.32%
2022/1/5 18:50,0.05%,1.26%,1.47%,67.02,58.63,48,5.65%,9.62%,204.51,609.29,595.28,975.99,304.59,407.81,6.3465,2.34%
2022/1/5 18:35,0.06%,1.17%,1.41%,68.52,56.95,49.78,5.76%,5.73%,211.44,628.29,598.03,898.78,298.5,405.65,6.334,2.34%
2022/1/5 18:30,0.07%,1.31%,1.44%,69.59,58.21,47.8,5.86%,5.73%,212.03,607.12,602.06,942.68,279.89,410.47,6.358,2.32%
2022/1/5 18:25,0.05%,1.35%,1.50%,67.92,58.69,45.14,5.83%,5.77%,218.76,619.1,575.27,913.53,275.75,399.12,6.3358,2.34%
2022/1/5 18:20,0.06%,1.24%,1.51%,66.69,58.85,49.56,5.94%,5.76%,200.72,626.87,608.39,967.09,300.13,394.61,6.3531,2.34%
2022/1/5 18:15,0.04%,1.16%,1.48%,67.36,58.5,45.09,5.89%,5.84%,199.11,621.39,572.69,917.24,308.62,403.36,6.3446,2.32%
2022/1/5 18:10,0.06%,1.21%,1.43%,69.1,58.03,47.2,5.85%,5.88%,218.13,607.47,585.46,911.19,275.51,396.44,6.3519,2.33%
2022/1/5 18:00,0.05%,1.22%,1.43%,67.56,57.88,47.97,5.82%,5.95%,209.03,620.53,604.58,928.5,294.63,412.16,6.3443,2.32%
2022/1/5 17:55,0.06%,1.18%,1.49%,69.32,57.07,45.08,5.86%,5.93%,201.12,612.55,609.67,947.93,276.73,414.67,6.3383,2.32%
2022/1/5 17:50,0.06%,1.26%,1.55%,67.4,55.62,50.35,5.91%,5.74%,211.55,626.97,609.46,978.8,300.98,412.27,6.3373,2.32%
2022/1/5 17:45,0.08%,1.34%,1.45%,67.85,58.68,50.83,5.95%,5.83%,209.3,618.97,584.23,916.69,292.27,409.85,6.3533,2.34%
2022/1/5 17:40,0.06%,1.20%,1.51%,68.05,56.49,49.73,5.81%,5.95%,210.09,620.11,609.89,921.08,276.04,390.89,6.3336,2.33%
2022/1/5 17:35,0.07%,1.24%,1.50%,69.16,57.54,46.08,5.86%,5.77%,212.47,625.38,589.65,976.3,309.14,390.09,6.347,2.32%
2022/1/5 17:30,0.06%,1.35%,1.37%,66.76,59.21,47.17,5.76%,5.84%,211.93,618.95,601.94,937.48,299.31,397.4,6.3391,2.33%
2022/1/5 17:25,0.05%,1.27%,1.41%,69.71,55.03,50.47,5.82%,5.77%,205.94,612.89,592.18,939.68,278.24,407.9,6.3409,2.33%
2022/1/5 17:20,0.05%,1.26%,1.54%,67.56,55.96,49.56,5.95%,5.83%,208.55,622.54,597.88,916.83,281.37,409.98,6.3566,2.32%
2022/1/5 17:00,0.06%,1.34%,1.45%,67.92,56.25,49.69,5.84%,5.76%,203.66,613.2,589.82,964.86,293.31,408.87,6.3574,2.33%
2022/1/5 16:45,0.07%,1.28%,1.41%,67.84,57.31,45.54,5.80%,5.87%,204.73,613.74,578.09,927.89,275.39,401.29,6.3357,2.32%
2022/1/5 16:40,0.06%,1.19%,1.52%,68.76,55.4,46.12,5.78%,5.83%,218.66,614.63,586.6,907.25,309.19,396.08,6.3489,2.32%
2022/1/5 16:35,0.08%,1.30%,1.54%,69.88,59.71,50.14,5.77%,5.90%,205.52,629.46,591.71,969.66,300.07,403.52,6.3421,2.32%
2022/1/5 16:30,0.04%,1.22%,1.49%,66.21,58.1,48.2,5.92%,5.80%,210.83,624.41,596.31,908.24,295.89,404.43,6.3457,2.34%
2022/1/5 16:20,0.07%,1.15%,1.39%,67.71,58.99,50.67,5.75%,5.90%,202.95,625.78,587.22,967.3,278.18,392.41,6.3335,2.32%
2022/1/5 16:15,0.06%,1.16%,1.38%,67.37,59.36,50.94,5.80%,5.74%,205.08,608.79,588.41,918.34,286.41,399.77,6.3413,2.34%
2022/1/5 16:10,0.05%,1.27%,1.47%,68.89,57.17,45.31,5.85%,5.85%,210.03,628.19,582.76,898.95,307.52,396.98,6.3516,2.33%
